return_id,order_id,user_id,return_date,return_reason,refund_amount,days_to_return
RET0000036,ORD0000142,USR00018,2025-10-05,Damaged,2560.54,6
RET0000037,ORD0000143,USR00018,2026-01-07,Damaged,8107.38,1
RET0000038,ORD0000144,USR00018,2026-02-22,Wrong item,5504.64,9
RET0000039,ORD0000149,USR00019,2025-10-31,Damaged,632.35,6
RET0000040,ORD0000151,USR00019,2026-03-05,Damaged,2511.35,4
RET0000041,ORD0000158,USR00020,2026-02-02,Wrong item,8052.12,6
RET0000042,ORD0000159,USR00020,2025-12-17,Wrong item,7079.9,9
RET0000043,ORD0000160,USR00020,2026-02-01,Changed mind,6503.69,2
RET0000044,ORD0000161,USR00020,2026-02-25,Wrong item,8743.13,5
RET0000045,ORD0000162,USR00020,2025-12-20,Wrong item,8610.83,7
RET0000046,ORD0000164,USR00021,2025-10-08,Wrong item,2025.9,2
RET0000047,ORD0000167,USR00021,2026-01-25,Changed mind,7231.8,2
RET0000048,ORD0000171,USR00022,2025-12-22,Changed mind,8404.65,4
RET0000049,ORD0000178,USR00024,2026-01-13,Changed mind,2563.04,6
RET0000050,ORD0000180,USR00024,2025-12-22,Changed mind,7777.5,3
RET0000051,ORD0000184,USR00025,2026-01-08,Changed mind,3636.2,1
RET0000052,ORD0000185,USR00025,2025-12-03,Damaged,1798.8,7
RET0000053,ORD0000187,USR00025,2025-10-20,Changed mind,1306.69,1
RET0000054,ORD0000189,USR00025,2025-11-20,Changed mind,4027.88,9
RET0000055,ORD0000191,USR00025,2025-12-30,Damaged,5994.13,2
RET0000056,ORD0000199,USR00027,2026-01-24,Damaged,2670.07,7
RET0000057,ORD0000204,USR00027,2026-01-06,Wrong item,8454.41,6
RET0000058,ORD0000207,USR00028,2025-12-29,Wrong item,7267.89,9
RET0000059,ORD0000216,USR00028,2025-12-12,Changed mind,3978.93,8
RET0000060,ORD0000220,USR00029,2025-11-03,Changed mind,8673.75,2
RET0000061,ORD0000221,USR00029,2026-03-01,Damaged,7802.66,4
RET0000062,ORD0000225,USR00029,2026-01-24,Changed mind,2561.19,8
RET0000063,ORD0000228,USR00031,2025-11-05,Wrong item,5393.14,7
RET0000064,ORD0000232,USR00032,2026-03-11,Damaged,8292.48,4
RET0000065,ORD0000241,USR00033,2026-02-26,Damaged,3459.3,2
RET0000066,ORD0000242,USR00033,2025-11-10,Changed mind,3046.74,9
RET0000067,ORD0000247,USR00033,2026-02-27,Wrong item,7632.77,7
RET0000068,ORD0000248,USR00033,2025-11-20,Changed mind,8230.38,2
RET0000069,ORD0000251,USR00035,2025-12-02,Changed mind,8554.03,8
RET0000070,ORD0000258,USR00035,2026-01-13,Damaged,4509.98,5
RET0000071,ORD0000259,USR00035,2025-12-24,Changed mind,6943.34,3
RET0000072,ORD0000260,USR00035,2026-03-18,Wrong item,2023.31,1
RET0000073,ORD0000262,USR00035,2026-01-18,Changed mind,6581.78,2
RET0000074,ORD0000265,USR00036,2025-11-10,Wrong item,2283.04,9
RET0000075,ORD0000268,USR00036,2026-01-12,Changed mind,9540.96,5
RET0000076,ORD0000270,USR00036,2026-02-25,Wrong item,1873.04,6
RET0000077,ORD0000277,USR00037,2025-12-28,Wrong item,9386.83,8
RET0000078,ORD0000287,USR00038,2025-10-13,Wrong item,5687.51,5
RET0000079,ORD0000288,USR00038,2026-02-07,Damaged,5906.47,8
RET0000080,ORD0000291,USR00039,2025-11-25,Damaged,3844.42,8
RET0000081,ORD0000296,USR00039,2025-10-08,Changed mind,2483.96,6
RET0000082,ORD0000300,USR00039,2026-02-02,Damaged,159.87,4
RET0000083,ORD0000301,USR00039,2025-11-27,Changed mind,2530.95,1
RET0000084,ORD0000304,USR00041,2025-10-19,Wrong item,7175.49,9
RET0000085,ORD0000313,USR00041,2025-10-31,Damaged,5872.97,1
RET0000086,ORD0000317,USR00041,2026-03-13,Damaged,962.38,5
RET0000087,ORD0000319,USR00042,2025-12-31,Wrong item,6279.98,6
RET0000088,ORD0000327,USR00042,2026-03-25,Changed mind,3458.28,5
RET0000089,ORD0000329,USR00043,2026-02-03,Damaged,4011.03,2
RET0000090,ORD0000338,USR00044,2026-02-13,Damaged,3866.77,3
RET0000091,ORD0000340,USR00044,2026-04-02,Wrong item,4328.34,8
RET0000092,ORD0000344,USR00045,2025-12-26,Wrong item,6700.64,7
RET0000093,ORD0000346,USR00045,2025-10-11,Changed mind,488.72,1
RET0000094,ORD0000351,USR00045,2026-02-12,Changed mind,6042.49,3
RET0000095,ORD0000354,USR00046,2026-01-10,Damaged,3482.25,7
RET0000096,ORD0000357,USR00046,2026-03-23,Changed mind,8436.86,8
RET0000097,ORD0000359,USR00046,2026-01-18,Changed mind,5599.42,3
RET0000098,ORD0000364,USR00047,2025-11-28,Wrong item,7424.69,3
RET0000099,ORD0000365,USR00047,2026-02-27,Damaged,1279.15,9
RET0000100,ORD0000372,USR00049,2026-03-24,Wrong item,9308.64,7
RET0000101,ORD0000378,USR00050,2025-11-15,Changed mind,7103.52,9
RET0000102,ORD0000382,USR00050,2026-01-09,Changed mind,7239.21,4
RET0000103,ORD0000385,USR00051,2025-11-26,Damaged,2563.31,6
RET0000104,ORD0000396,USR00052,2026-02-18,Damaged,463.46,1
RET0000105,ORD0000398,USR00053,2025-12-06,Damaged,505.25,8
RET0000106,ORD0000400,USR00053,2026-02-24,Changed mind,4901.68,7
RET0000107,ORD0000402,USR00053,2025-10-30,Damaged,5228.3,1
RET0000108,ORD0000408,USR00054,2025-12-16,Damaged,8296.97,9
RET0000109,ORD0000411,USR00054,2026-03-09,Wrong item,460.96,5
RET0000110,ORD0000412,USR00054,2025-11-26,Changed mind,3890.54,5
RET0000111,ORD0000418,USR00055,2025-12-13,Damaged,3566.97,6
RET0000112,ORD0000420,USR00056,2026-02-03,Wrong item,1085.0,1
RET0000113,ORD0000423,USR00056,2026-03-18,Wrong item,7038.57,4
RET0000114,ORD0000427,USR00056,2026-01-26,Wrong item,1046.84,5
RET0000115,ORD0000432,USR00057,2026-03-05,Wrong item,2281.16,7
RET0000116,ORD0000435,USR00058,2025-10-26,Changed mind,5374.99,4
RET0000117,ORD0000437,USR00058,2025-11-16,Wrong item,9332.41,4
RET0000118,ORD0000443,USR00058,2025-10-13,Wrong item,1399.75,4
RET0000119,ORD0000445,USR00058,2025-11-24,Wrong item,6730.57,4
RET0000120,ORD0000449,USR00059,2026-03-10,Wrong item,9447.67,9
RET0000121,ORD0000453,USR00060,2026-01-22,Changed mind,8402.23,4
RET0000122,ORD0000454,USR00060,2025-10-24,Wrong item,307.99,5
RET0000123,ORD0000455,USR00060,2025-11-02,Changed mind,186.89,8
RET0000124,ORD0000457,USR00060,2025-12-25,Wrong item,958.4,5
RET0000125,ORD0000459,USR00060,2026-03-06,Changed mind,8312.7,7
RET0000126,ORD0000462,USR00060,2025-12-10,Wrong item,8149.32,5
RET0000127,ORD0000465,USR00061,2025-12-17,Damaged,7676.63,5
RET0000128,ORD0000466,USR00061,2026-02-05,Wrong item,2127.54,1
RET0000129,ORD0000467,USR00061,2025-11-29,Damaged,2432.32,3
RET0000130,ORD0000468,USR00062,2026-01-06,Wrong item,2498.35,3
RET0000131,ORD0000470,USR00062,2026-03-27,Damaged,9193.36,4
RET0000132,ORD0000484,USR00066,2025-12-29,Damaged,8669.16,3
RET0000133,ORD0000487,USR00066,2026-02-18,Damaged,7977.04,1
RET0000134,ORD0000488,USR00066,2025-11-20,Wrong item,7040.87,5
RET0000135,ORD0000489,USR00066,2026-01-24,Damaged,5095.91,6
RET0000136,ORD0000490,USR00066,2025-11-20,Damaged,9346.38,3
RET0000137,ORD0000492,USR00067,2026-02-09,Wrong item,4265.29,2
RET0000138,ORD0000493,USR00067,2025-12-21,Wrong item,8582.67,2
RET0000139,ORD0000494,USR00067,2025-10-10,Wrong item,7200.89,9
RET0000140,ORD0000499,USR00067,2025-11-26,Damaged,780.66,3
RET0000141,ORD0000501,USR00068,2026-02-13,Changed mind,2119.55,2
RET0000142,ORD0000509,USR00069,2026-02-10,Wrong item,9735.28,7
RET0000143,ORD0000515,USR00069,2025-11-29,Wrong item,4657.52,4
RET0000144,ORD0000519,USR00069,2025-12-07,Wrong item,2890.07,3
RET0000145,ORD0000531,USR00071,2026-03-13,Damaged,9459.18,7
RET0000146,ORD0000535,USR00072,2025-10-08,Damaged,2897.25,5
RET0000147,ORD0000545,USR00073,2026-01-22,Wrong item,9382.63,2
RET0000148,ORD0000559,USR00075,2026-03-21,Wrong item,1419.94,6
RET0000149,ORD0000561,USR00075,2025-12-27,Changed mind,235.25,9
RET0000150,ORD0000564,USR00075,2025-11-03,Wrong item,3424.85,8
RET0000151,ORD0000566,USR00075,2025-12-15,Damaged,8118.79,7
RET0000152,ORD0000574,USR00076,2025-10-08,Changed mind,5735.14,7
RET0000153,ORD0000579,USR00076,2025-10-03,Damaged,9585.57,4
RET0000154,ORD0000585,USR00077,2025-10-21,Damaged,1153.48,9
RET0000155,ORD0000587,USR00077,2025-11-21,Changed mind,3224.77,9
RET0000156,ORD0000589,USR00077,2025-12-17,Wrong item,2003.35,8
RET0000157,ORD0000591,USR00077,2025-12-23,Wrong item,4170.02,9
RET0000158,ORD0000592,USR00077,2026-01-21,Damaged,5272.72,9
RET0000159,ORD0000593,USR00077,2025-12-14,Wrong item,9835.07,5
RET0000160,ORD0000594,USR00077,2026-01-16,Wrong item,6844.69,1
RET0000161,ORD0000595,USR00078,2025-12-04,Damaged,176.89,6
RET0000162,ORD0000598,USR00079,2026-01-25,Changed mind,8453.75,9
RET0000163,ORD0000601,USR00079,2026-01-28,Damaged,782.39,9
RET0000164,ORD0000602,USR00079,2025-12-29,Changed mind,3543.44,5
RET0000165,ORD0000604,USR00079,2026-01-22,Wrong item,1343.87,2
RET0000166,ORD0000607,USR00079,2025-11-12,Changed mind,2252.78,2
RET0000167,ORD0000611,USR00079,2025-12-21,Damaged,773.57,5
RET0000168,ORD0000612,USR00080,2026-02-24,Changed mind,2741.27,4
RET0000169,ORD0000613,USR00080,2025-12-17,Wrong item,4379.09,8
RET0000170,ORD0000616,USR00080,2026-03-19,Damaged,1910.36,9
RET0000171,ORD0000618,USR00081,2026-01-12,Damaged,4150.91,3
RET0000172,ORD0000619,USR00081,2026-02-10,Wrong item,1842.65,7
RET0000173,ORD0000622,USR00082,2025-11-14,Changed mind,7297.48,7
RET0000174,ORD0000625,USR00082,2026-03-21,Wrong item,5361.64,6
RET0000175,ORD0000626,USR00082,2025-12-28,Damaged,4028.21,8
RET0000176,ORD0000634,USR00083,2026-01-17,Damaged,3034.8,2
RET0000177,ORD0000638,USR00084,2025-11-08,Wrong item,4605.25,6
RET0000178,ORD0000639,USR00084,2026-01-18,Wrong item,7105.44,2
RET0000179,ORD0000640,USR00085,2026-01-18,Damaged,3087.82,2
RET0000180,ORD0000646,USR00085,2025-10-16,Damaged,944.16,4
RET0000181,ORD0000648,USR00085,2026-01-30,Wrong item,5499.74,8
RET0000182,ORD0000650,USR00085,2026-02-12,Damaged,7970.61,1
RET0000183,ORD0000652,USR00087,2025-12-24,Damaged,8783.56,5
RET0000184,ORD0000658,USR00088,2026-03-23,Changed mind,1443.05,3
RET0000185,ORD0000659,USR00088,2026-02-06,Changed mind,1421.99,4
RET0000186,ORD0000662,USR00088,2025-11-09,Damaged,7385.61,9
RET0000187,ORD0000665,USR00088,2025-11-22,Wrong item,2709.16,1
RET0000188,ORD0000667,USR00089,2025-12-23,Changed mind,9982.18,3
RET0000189,ORD0000672,USR00089,2026-01-05,Changed mind,8805.31,1
RET0000190,ORD0000684,USR00090,2025-11-20,Damaged,4830.89,4
RET0000191,ORD0000688,USR00090,2026-03-27,Wrong item,217.99,1
RET0000192,ORD0000689,USR00090,2026-03-26,Wrong item,8709.99,2
RET0000193,ORD0000700,USR00092,2026-02-16,Wrong item,4436.64,7
RET0000194,ORD0000702,USR00092,2026-03-18,Changed mind,6869.5,6
RET0000195,ORD0000708,USR00093,2025-10-27,Changed mind,1183.96,5
RET0000196,ORD0000714,USR00094,2026-01-16,Wrong item,7442.67,2
RET0000197,ORD0000719,USR00094,2025-12-06,Wrong item,6235.5,6
RET0000198,ORD0000721,USR00094,2025-10-28,Wrong item,1145.94,3
RET0000199,ORD0000723,USR00094,2026-01-31,Wrong item,6221.02,3
RET0000200,ORD0000726,USR00095,2025-11-01,Damaged,7500.45,4
RET0000201,ORD0000733,USR00095,2026-03-08,Changed mind,1527.98,5
RET0000202,ORD0000737,USR00095,2026-03-17,Wrong item,8343.67,1
RET0000203,ORD0000748,USR00097,2026-03-11,Changed mind,4583.55,4
RET0000204,ORD0000759,USR00098,2025-10-07,Damaged,1333.69,7
RET0000205,ORD0000762,USR00098,2026-02-19,Wrong item,6324.47,8
RET0000206,ORD0000764,USR00098,2025-12-31,Changed mind,4610.11,4
RET0000207,ORD0000765,USR00098,2026-01-13,Wrong item,5154.15,7
RET0000208,ORD0000767,USR00099,2026-02-12,Damaged,1719.8,6
RET0000209,ORD0000768,USR00099,2025-10-05,Wrong item,6775.51,3
RET0000210,ORD0000770,USR00100,2025-12-23,Wrong item,1404.89,9
RET0000211,ORD0000775,USR00100,2026-03-21,Damaged,4433.87,8
RET0000212,ORD0000792,USR00103,2026-03-16,Wrong item,8214.8,9
RET0000213,ORD0000793,USR00103,2026-02-02,Damaged,2193.17,4
RET0000214,ORD0000794,USR00103,2025-11-29,Damaged,6662.31,1
RET0000215,ORD0000795,USR00103,2025-12-29,Wrong item,2444.3,4
RET0000216,ORD0000804,USR00104,2025-10-11,Changed mind,5194.16,7
RET0000217,ORD0000806,USR00104,2026-02-14,Wrong item,1463.57,3
RET0000218,ORD0000807,USR00104,2025-11-16,Changed mind,283.46,6
RET0000219,ORD0000808,USR00104,2026-02-16,Changed mind,6613.7,2
RET0000220,ORD0000812,USR00105,2026-01-21,Wrong item,7345.54,9
RET0000221,ORD0000816,USR00105,2025-12-02,Wrong item,5394.51,3
RET0000222,ORD0000818,USR00105,2026-02-03,Wrong item,8178.96,5
RET0000223,ORD0000820,USR00105,2026-02-13,Changed mind,8877.29,7
RET0000224,ORD0000822,USR00107,2025-11-08,Wrong item,1528.69,7
RET0000225,ORD0000830,USR00107,2026-03-11,Changed mind,4127.06,3
RET0000226,ORD0000832,USR00108,2025-10-24,Wrong item,297.73,1
RET0000227,ORD0000834,USR00108,2026-01-07,Wrong item,5228.35,4
RET0000228,ORD0000836,USR00108,2025-10-14,Damaged,1540.62,5
RET0000229,ORD0000840,USR00109,2025-12-08,Damaged,8316.4,8
RET0000230,ORD0000845,USR00109,2026-03-03,Damaged,9126.11,6
RET0000231,ORD0000851,USR00110,2025-10-24,Damaged,7221.08,1
RET0000232,ORD0000859,USR00111,2025-11-10,Damaged,4641.18,4
RET0000233,ORD0000860,USR00111,2025-11-18,Damaged,7802.05,9
RET0000234,ORD0000867,USR00112,2026-01-23,Changed mind,4355.46,4
RET0000235,ORD0000868,USR00112,2026-01-19,Wrong item,1830.37,6
RET0000236,ORD0000872,USR00113,2026-01-24,Changed mind,4185.51,1
RET0000237,ORD0000875,USR00113,2025-10-05,Damaged,2284.92,3
RET0000238,ORD0000877,USR00113,2026-02-02,Damaged,2199.6,5
RET0000239,ORD0000878,USR00113,2025-10-19,Wrong item,6389.12,4
RET0000240,ORD0000883,USR00114,2025-10-28,Damaged,170.21,2
RET0000241,ORD0000886,USR00114,2026-01-11,Damaged,7446.02,3
RET0000242,ORD0000892,USR00116,2026-02-20,Changed mind,4890.38,9
RET0000243,ORD0000895,USR00116,2025-11-17,Wrong item,8272.79,1
RET0000244,ORD0000896,USR00116,2026-02-15,Changed mind,8070.68,6
RET0000245,ORD0000898,USR00116,2026-01-05,Wrong item,9527.37,4
RET0000246,ORD0000908,USR00117,2026-03-08,Wrong item,5039.78,1
RET0000247,ORD0000912,USR00117,2025-10-16,Changed mind,1578.88,7
RET0000248,ORD0000913,USR00117,2026-04-02,Damaged,1806.62,7
RET0000249,ORD0000915,USR00118,2025-11-03,Changed mind,929.53,9
RET0000250,ORD0000916,USR00118,2026-02-26,Damaged,5231.82,6
RET0000251,ORD0000922,USR00118,2025-12-20,Changed mind,7559.41,7
RET0000252,ORD0000923,USR00118,2025-10-09,Changed mind,6725.73,9
RET0000253,ORD0000925,USR00118,2026-01-15,Wrong item,3039.27,5
RET0000254,ORD0000933,USR00119,2026-02-07,Changed mind,3912.55,1
RET0000255,ORD0000937,USR00119,2026-03-22,Damaged,5855.08,9
RET0000256,ORD0000939,USR00119,2025-11-04,Wrong item,4797.99,2
RET0000257,ORD0000940,USR00119,2025-11-10,Changed mind,5339.75,5
RET0000258,ORD0000941,USR00120,2026-03-15,Damaged,7988.93,7
RET0000259,ORD0000960,USR00121,2025-11-13,Changed mind,7122.03,3
RET0000260,ORD0000966,USR00121,2026-02-17,Wrong item,8227.1,8
RET0000261,ORD0000967,USR00122,2026-02-04,Changed mind,9068.53,8
RET0000262,ORD0000970,USR00122,2026-03-09,Damaged,9443.29,6
RET0000263,ORD0000974,USR00122,2026-03-02,Changed mind,4986.08,1
RET0000264,ORD0000977,USR00123,2025-10-29,Wrong item,1225.1,9
RET0000265,ORD0000978,USR00124,2026-03-20,Changed mind,8042.51,4
RET0000266,ORD0000988,USR00125,2025-10-24,Changed mind,3680.49,2
RET0000267,ORD0000994,USR00126,2025-10-15,Wrong item,722.78,4
RET0000268,ORD0001000,USR00126,2026-02-09,Damaged,7326.24,4
RET0000269,ORD0001009,USR00127,2026-04-02,Changed mind,7258.27,8
RET0000270,ORD0001018,USR00128,2026-03-09,Damaged,2510.08,6
RET0000271,ORD0001021,USR00129,2025-10-28,Wrong item,8950.67,1
RET0000272,ORD0001023,USR00129,2025-10-20,Damaged,7696.06,5
RET0000273,ORD0001031,USR00129,2026-03-06,Changed mind,1598.96,5
RET0000274,ORD0001034,USR00130,2026-02-04,Changed mind,1301.58,2
RET0000275,ORD0001046,USR00131,2025-12-08,Changed mind,6106.49,6
RET0000276,ORD0001054,USR00132,2025-10-18,Damaged,8839.95,1
RET0000277,ORD0001072,USR00135,2026-02-04,Wrong item,8694.17,3
RET0000278,ORD0001077,USR00135,2025-10-23,Changed mind,7801.3,8
RET0000279,ORD0001078,USR00135,2026-02-25,Wrong item,5699.47,8
RET0000280,ORD0001079,USR00135,2025-10-18,Damaged,3824.29,5
RET0000281,ORD0001080,USR00136,2026-02-28,Changed mind,5306.87,7
RET0000282,ORD0001083,USR00136,2025-12-05,Damaged,2767.45,6
RET0000283,ORD0001086,USR00136,2025-11-04,Damaged,3214.19,6
RET0000284,ORD0001087,USR00136,2026-03-24,Damaged,6881.56,7
RET0000285,ORD0001089,USR00137,2026-03-12,Wrong item,3658.3,5
RET0000286,ORD0001090,USR00137,2026-02-17,Changed mind,4479.12,8
RET0000287,ORD0001093,USR00138,2025-10-29,Wrong item,2451.11,4
RET0000288,ORD0001094,USR00138,2026-03-21,Damaged,3925.04,5
RET0000289,ORD0001098,USR00138,2026-03-05,Damaged,6681.7,8
RET0000290,ORD0001099,USR00138,2026-02-24,Wrong item,6487.85,4
RET0000291,ORD0001102,USR00139,2026-01-13,Changed mind,7008.86,2
RET0000292,ORD0001105,USR00139,2025-11-28,Changed mind,1573.21,9
RET0000293,ORD0001108,USR00140,2025-12-22,Wrong item,9455.67,3
RET0000294,ORD0001111,USR00140,2025-11-18,Changed mind,4751.06,1
RET0000295,ORD0001115,USR00141,2025-11-10,Wrong item,6192.97,3
RET0000296,ORD0001116,USR00141,2026-03-06,Damaged,9361.68,2
RET0000297,ORD0001120,USR00141,2025-11-29,Changed mind,8909.38,4
RET0000298,ORD0001124,USR00141,2026-01-21,Wrong item,6322.19,6
RET0000299,ORD0001129,USR00144,2026-01-14,Wrong item,9907.36,9
RET0000300,ORD0001130,USR00144,2025-12-11,Damaged,5658.24,6
RET0000301,ORD0001138,USR00144,2025-10-20,Damaged,4195.96,8
RET0000302,ORD0001139,USR00144,2026-01-01,Changed mind,9412.83,8
RET0000303,ORD0001140,USR00144,2025-12-29,Wrong item,2161.95,2
RET0000304,ORD0001142,USR00144,2026-01-15,Damaged,2071.65,8
RET0000305,ORD0001143,USR00145,2025-10-10,Wrong item,3916.97,8
RET0000306,ORD0001147,USR00145,2026-01-29,Changed mind,7328.29,5
RET0000307,ORD0001151,USR00145,2025-11-11,Wrong item,8828.19,2
RET0000308,ORD0001157,USR00146,2025-10-02,Changed mind,2062.24,3
RET0000309,ORD0001158,USR00146,2026-02-23,Changed mind,5438.02,5
RET0000310,ORD0001160,USR00147,2026-03-03,Changed mind,2952.83,7
RET0000311,ORD0001161,USR00147,2025-10-11,Wrong item,8426.85,5
RET0000312,ORD0001164,USR00147,2026-02-03,Changed mind,1993.3,4
RET0000313,ORD0001171,USR00148,2026-01-28,Damaged,9346.93,4
RET0000314,ORD0001173,USR00149,2025-12-17,Wrong item,7984.87,2
RET0000315,ORD0001176,USR00150,2026-02-16,Damaged,5965.69,1
RET0000316,ORD0001177,USR00150,2026-01-06,Changed mind,3661.92,2
RET0000317,ORD0001180,USR00150,2025-11-05,Wrong item,4974.78,4
RET0000318,ORD0001181,USR00150,2025-10-08,Wrong item,4301.28,1
RET0000319,ORD0001186,USR00151,2026-03-08,Wrong item,4172.17,5
RET0000320,ORD0001191,USR00152,2025-11-10,Changed mind,8559.7,4
RET0000321,ORD0001192,USR00152,2025-10-16,Changed mind,2145.77,5
RET0000322,ORD0001200,USR00153,2026-02-24,Wrong item,9985.75,6
RET0000323,ORD0001202,USR00153,2025-12-23,Wrong item,3658.7,8
RET0000324,ORD0001210,USR00155,2026-03-05,Changed mind,4998.78,8
RET0000325,ORD0001213,USR00155,2026-03-21,Wrong item,4476.46,4
RET0000326,ORD0001214,USR00155,2026-01-13,Wrong item,4888.77,4
RET0000327,ORD0001215,USR00155,2026-02-06,Damaged,2661.18,3
RET0000328,ORD0001217,USR00155,2025-12-08,Damaged,7573.83,1
RET0000329,ORD0001220,USR00155,2026-03-29,Changed mind,5811.67,4
RET0000330,ORD0001226,USR00156,2026-01-07,Changed mind,871.0,2
RET0000331,ORD0001227,USR00156,2025-11-10,Wrong item,8273.47,7
RET0000332,ORD0001234,USR00157,2025-11-22,Changed mind,1991.52,8
RET0000333,ORD0001235,USR00157,2025-10-28,Changed mind,3626.87,5
RET0000334,ORD0001236,USR00158,2025-10-31,Wrong item,6981.69,5
RET0000335,ORD0001248,USR00158,2026-02-22,Wrong item,459.77,4
RET0000336,ORD0001250,USR00159,2025-12-30,Damaged,5942.69,1
RET0000337,ORD0001253,USR00159,2025-12-22,Wrong item,4123.03,7
RET0000338,ORD0001255,USR00159,2026-02-17,Wrong item,1799.61,8
RET0000339,ORD0001256,USR00159,2025-10-20,Damaged,6959.5,8
RET0000340,ORD0001257,USR00159,2025-10-14,Changed mind,7458.62,6
RET0000341,ORD0001258,USR00159,2025-11-15,Damaged,8196.11,7
RET0000342,ORD0001261,USR00161,2026-02-28,Damaged,5914.96,4
RET0000343,ORD0001265,USR00161,2026-02-02,Damaged,2749.92,3
RET0000344,ORD0001270,USR00162,2025-12-04,Wrong item,4146.56,3
RET0000345,ORD0001278,USR00164,2026-01-07,Changed mind,821.17,9
RET0000346,ORD0001283,USR00165,2026-03-12,Changed mind,8323.29,9
RET0000347,ORD0001287,USR00165,2025-10-19,Damaged,6588.82,7
RET0000348,ORD0001288,USR00165,2026-01-12,Changed mind,8657.59,1
RET0000349,ORD0001298,USR00167,2025-11-29,Wrong item,3886.6,4
RET0000350,ORD0001304,USR00167,2025-12-18,Damaged,2350.49,1
RET0000351,ORD0001306,USR00168,2025-11-02,Wrong item,2260.9,5
RET0000352,ORD0001313,USR00168,2026-01-26,Wrong item,271.15,2
RET0000353,ORD0001314,USR00168,2025-11-28,Wrong item,9619.28,6
RET0000354,ORD0001316,USR00169,2025-12-17,Changed mind,9341.21,7
RET0000355,ORD0001325,USR00169,2025-12-07,Changed mind,9929.04,1
RET0000356,ORD0001336,USR00170,2026-01-14,Wrong item,2716.57,7
RET0000357,ORD0001340,USR00170,2025-10-10,Changed mind,248.72,2
RET0000358,ORD0001341,USR00171,2026-03-26,Wrong item,641.98,9
RET0000359,ORD0001357,USR00174,2026-03-19,Changed mind,8260.25,2
RET0000360,ORD0001358,USR00175,2026-02-05,Damaged,1878.6,9
RET0000361,ORD0001364,USR00175,2026-03-23,Damaged,8113.33,5
RET0000362,ORD0001366,USR00175,2025-12-27,Wrong item,7502.24,4
RET0000363,ORD0001380,USR00177,2026-01-19,Changed mind,5124.34,1
RET0000364,ORD0001383,USR00178,2025-11-08,Damaged,6929.25,6
RET0000365,ORD0001384,USR00178,2025-09-30,Wrong item,292.07,1
RET0000366,ORD0001395,USR00179,2026-02-26,Changed mind,6238.01,2
RET0000367,ORD0001398,USR00180,2025-10-29,Damaged,394.93,7
RET0000368,ORD0001400,USR00180,2025-12-26,Changed mind,8559.11,8
RET0000369,ORD0001407,USR00180,2026-02-07,Damaged,1205.2,6
RET0000370,ORD0001408,USR00181,2025-10-09,Damaged,8035.24,1
