order_id,user_id,order_date,category,order_value,payment_method,delivery_city
ORD0000036,USR00006,2026-01-04,Books,7995.39,UPI,Hyderabad
ORD0000037,USR00006,2026-01-20,Books,5918.2,COD,Hyderabad
ORD0000038,USR00006,2026-02-10,Books,4803.39,UPI,Hyderabad
ORD0000039,USR00006,2026-01-23,Home,7838.16,COD,Hyderabad
ORD0000040,USR00006,2025-12-03,Books,6314.68,Card,Hyderabad
ORD0000041,USR00007,2025-10-31,Home,9925.89,COD,Mumbai
ORD0000042,USR00007,2026-02-02,Home,6904.23,COD,Mumbai
ORD0000043,USR00007,2026-03-13,Books,8323.17,COD,Mumbai
ORD0000044,USR00007,2025-10-06,Fashion,4949.72,COD,Mumbai
ORD0000045,USR00007,2026-02-04,Electronics,7422.86,COD,Mumbai
ORD0000046,USR00007,2025-10-27,Fashion,265.09,Card,Mumbai
ORD0000047,USR00007,2026-03-08,Fashion,3408.51,UPI,Mumbai
ORD0000048,USR00008,2025-12-25,Fashion,7342.46,COD,Chennai
ORD0000049,USR00008,2026-02-22,Books,8342.86,Card,Chennai
ORD0000050,USR00008,2025-11-24,Electronics,772.94,UPI,Chennai
ORD0000051,USR00008,2025-11-21,Books,690.21,COD,Chennai
ORD0000052,USR00008,2025-10-24,Electronics,8912.37,UPI,Chennai
ORD0000053,USR00008,2025-11-20,Fashion,4216.6,Card,Chennai
ORD0000054,USR00008,2026-01-06,Books,6790.04,UPI,Chennai
ORD0000055,USR00009,2025-12-30,Electronics,5728.67,Card,Chennai
ORD0000056,USR00009,2025-10-28,Fashion,1438.65,Card,Chennai
ORD0000057,USR00009,2025-10-15,Electronics,4020.41,COD,Chennai
ORD0000058,USR00009,2026-02-09,Electronics,209.68,COD,Chennai
ORD0000059,USR00009,2026-01-01,Books,4397.12,Card,Chennai
ORD0000060,USR00009,2026-01-01,Home,9916.17,COD,Chennai
ORD0000061,USR00009,2026-01-21,Electronics,3608.33,UPI,Chennai
ORD0000062,USR00009,2025-12-02,Books,6725.27,Card,Chennai
ORD0000063,USR00009,2025-10-07,Electronics,7037.18,UPI,Chennai
ORD0000064,USR00009,2025-12-21,Home,3642.33,UPI,Chennai
ORD0000065,USR00009,2025-11-01,Electronics,5798.37,COD,Chennai
ORD0000066,USR00009,2025-10-29,Fashion,4770.22,COD,Chennai
ORD0000067,USR00009,2025-10-27,Fashion,3218.6,COD,Chennai
ORD0000068,USR00009,2025-10-06,Electronics,2180.06,Card,Chennai
ORD0000069,USR00010,2026-02-08,Fashion,349.47,COD,Pune
ORD0000070,USR00010,2025-10-08,Electronics,4782.97,UPI,Pune
ORD0000071,USR00010,2025-10-02,Electronics,5682.54,Card,Pune
ORD0000072,USR00011,2025-12-26,Books,6980.04,Card,Hyderabad
ORD0000073,USR00011,2025-12-08,Books,4182.79,Card,Hyderabad
ORD0000074,USR00011,2026-03-06,Fashion,7376.75,COD,Hyderabad
ORD0000075,USR00011,2025-12-05,Electronics,1392.0,COD,Hyderabad
ORD0000076,USR00011,2025-10-01,Electronics,1418.5,UPI,Hyderabad
ORD0000077,USR00011,2025-12-16,Home,9128.4,COD,Hyderabad
ORD0000078,USR00012,2025-11-02,Home,6970.77,Card,Chennai
ORD0000079,USR00012,2026-03-02,Home,3258.55,UPI,Chennai
ORD0000080,USR00012,2026-02-14,Fashion,5012.77,Card,Chennai
ORD0000081,USR00012,2026-02-17,Books,1003.96,COD,Chennai
ORD0000082,USR00012,2026-01-11,Electronics,5889.8,Card,Chennai
ORD0000083,USR00012,2025-10-10,Fashion,1373.11,Card,Chennai
ORD0000084,USR00012,2025-11-30,Electronics,4769.33,COD,Chennai
ORD0000085,USR00012,2025-10-26,Electronics,406.22,COD,Chennai
ORD0000086,USR00012,2025-12-01,Home,4132.92,Card,Chennai
ORD0000087,USR00012,2026-02-20,Electronics,8976.09,COD,Chennai
ORD0000088,USR00012,2025-10-25,Home,323.39,COD,Chennai
ORD0000089,USR00012,2025-11-21,Home,5813.46,COD,Chennai
ORD0000090,USR00013,2025-11-03,Books,6009.76,Card,Delhi
ORD0000091,USR00013,2025-10-31,Books,8103.11,UPI,Delhi
ORD0000092,USR00013,2026-03-02,Home,7523.61,Card,Delhi
ORD0000093,USR00013,2026-01-13,Books,5764.02,COD,Delhi
ORD0000094,USR00013,2025-10-31,Electronics,1729.74,Card,Delhi
ORD0000095,USR00013,2026-01-06,Electronics,2066.58,Card,Delhi
ORD0000096,USR00013,2025-11-01,Electronics,3133.51,Card,Delhi
ORD0000097,USR00013,2025-11-22,Fashion,5981.09,COD,Delhi
ORD0000098,USR00013,2026-03-06,Fashion,4322.35,Card,Delhi
ORD0000099,USR00014,2026-02-07,Books,1855.53,Card,Bangalore
ORD0000100,USR00014,2026-02-24,Electronics,1801.11,COD,Bangalore
ORD0000101,USR00014,2026-02-25,Home,7177.51,UPI,Bangalore
ORD0000102,USR00014,2026-03-09,Home,2904.52,UPI,Bangalore
ORD0000103,USR00014,2025-11-22,Books,8137.47,COD,Bangalore
ORD0000104,USR00014,2026-03-12,Home,3935.77,UPI,Bangalore
ORD0000105,USR00014,2025-10-10,Fashion,6721.88,Card,Bangalore
ORD0000106,USR00014,2025-11-10,Home,3005.99,Card,Bangalore
ORD0000107,USR00014,2026-03-11,Fashion,3394.53,COD,Bangalore
ORD0000108,USR00015,2026-02-03,Home,7099.45,UPI,Delhi
ORD0000109,USR00015,2026-03-22,Fashion,5689.45,Card,Delhi
ORD0000110,USR00015,2025-11-01,Fashion,8870.55,UPI,Delhi
ORD0000111,USR00015,2025-12-24,Fashion,9324.23,Card,Delhi
ORD0000112,USR00015,2025-10-08,Fashion,7385.59,UPI,Delhi
ORD0000113,USR00015,2025-12-22,Fashion,1415.99,UPI,Delhi
ORD0000114,USR00015,2026-01-19,Home,587.29,UPI,Delhi
ORD0000115,USR00015,2025-12-07,Electronics,665.46,UPI,Delhi
ORD0000116,USR00015,2025-11-30,Electronics,109.2,COD,Delhi
ORD0000117,USR00016,2026-02-13,Books,8605.21,COD,Mumbai
ORD0000118,USR00016,2025-11-27,Electronics,4221.0,COD,Mumbai
ORD0000119,USR00016,2026-02-18,Electronics,2466.76,Card,Mumbai
ORD0000120,USR00016,2026-01-13,Home,7624.05,COD,Mumbai
ORD0000121,USR00016,2025-11-17,Home,6836.75,Card,Mumbai
ORD0000122,USR00017,2026-03-04,Home,6241.68,Card,Bangalore
ORD0000123,USR00017,2026-01-22,Fashion,6491.47,COD,Bangalore
ORD0000124,USR00017,2025-10-27,Home,3920.8,Card,Bangalore
ORD0000125,USR00017,2025-09-29,Fashion,8874.25,COD,Bangalore
ORD0000126,USR00017,2025-12-28,Fashion,1603.67,UPI,Bangalore
ORD0000127,USR00017,2026-03-07,Books,3996.2,Card,Bangalore
ORD0000128,USR00017,2025-11-17,Electronics,9655.58,COD,Bangalore
ORD0000129,USR00017,2025-11-25,Home,5793.1,Card,Bangalore
ORD0000130,USR00017,2025-12-11,Fashion,7288.5,Card,Bangalore
ORD0000131,USR00017,2025-12-18,Electronics,4331.92,COD,Bangalore
ORD0000132,USR00017,2025-11-29,Books,3201.34,Card,Bangalore
ORD0000133,USR00017,2026-01-17,Electronics,2399.02,UPI,Bangalore
ORD0000134,USR00018,2025-11-21,Fashion,2066.45,Card,Bangalore
ORD0000135,USR00018,2025-11-03,Electronics,8139.57,Card,Bangalore
ORD0000136,USR00018,2025-12-12,Home,3765.3,COD,Bangalore
ORD0000137,USR00018,2026-02-20,Home,8476.63,UPI,Bangalore
ORD0000138,USR00018,2025-10-01,Home,6611.39,UPI,Bangalore
ORD0000139,USR00018,2025-12-17,Home,3829.1,Card,Bangalore
ORD0000140,USR00018,2026-02-06,Home,718.07,Card,Bangalore
ORD0000141,USR00018,2025-12-06,Fashion,2747.41,Card,Bangalore
ORD0000142,USR00018,2025-09-29,Books,2560.54,UPI,Bangalore
ORD0000143,USR00018,2026-01-06,Books,8107.38,COD,Bangalore
ORD0000144,USR00018,2026-02-13,Home,5504.64,Card,Bangalore
ORD0000145,USR00019,2026-03-20,Books,8586.59,Card,Hyderabad
ORD0000146,USR00019,2026-02-21,Books,2809.61,UPI,Hyderabad
ORD0000147,USR00019,2026-03-21,Fashion,6934.2,COD,Hyderabad
ORD0000148,USR00019,2025-11-13,Fashion,6857.15,UPI,Hyderabad
ORD0000149,USR00019,2025-10-25,Home,632.35,UPI,Hyderabad
ORD0000150,USR00019,2025-10-04,Books,6492.68,Card,Hyderabad
ORD0000151,USR00019,2026-03-01,Fashion,2511.35,UPI,Hyderabad
ORD0000152,USR00019,2025-11-21,Fashion,3189.43,Card,Hyderabad
ORD0000153,USR00019,2025-11-16,Electronics,1853.56,UPI,Hyderabad
ORD0000154,USR00019,2026-01-08,Books,4509.55,Card,Hyderabad
ORD0000155,USR00019,2025-10-02,Fashion,3355.34,COD,Hyderabad
ORD0000156,USR00019,2025-12-14,Home,7543.07,Card,Hyderabad
ORD0000157,USR00019,2026-01-14,Home,8725.39,Card,Hyderabad
ORD0000158,USR00020,2026-01-27,Electronics,8052.12,Card,Hyderabad
ORD0000159,USR00020,2025-12-08,Electronics,7079.9,COD,Hyderabad
ORD0000160,USR00020,2026-01-30,Fashion,6503.69,UPI,Hyderabad
ORD0000161,USR00020,2026-02-20,Fashion,8743.13,Card,Hyderabad
ORD0000162,USR00020,2025-12-13,Books,8610.83,COD,Hyderabad
ORD0000163,USR00020,2026-03-26,Electronics,4807.21,Card,Hyderabad
ORD0000164,USR00021,2025-10-06,Home,2025.9,Card,Bangalore
ORD0000165,USR00021,2025-11-24,Home,8380.78,Card,Bangalore
ORD0000166,USR00021,2025-11-30,Home,6396.87,Card,Bangalore
ORD0000167,USR00021,2026-01-23,Electronics,7231.8,Card,Bangalore
ORD0000168,USR00021,2025-11-20,Electronics,4824.28,Card,Bangalore
ORD0000169,USR00021,2025-10-02,Fashion,8304.22,COD,Bangalore
ORD0000170,USR00022,2025-12-01,Fashion,9345.27,Card,Bangalore
ORD0000171,USR00022,2025-12-18,Home,8404.65,Card,Bangalore
ORD0000172,USR00022,2025-12-05,Books,7000.54,COD,Bangalore
ORD0000173,USR00023,2025-11-23,Books,7281.18,UPI,Pune
ORD0000174,USR00024,2026-01-04,Books,4137.0,COD,Pune
ORD0000175,USR00024,2026-01-07,Home,802.07,Card,Pune
ORD0000176,USR00024,2026-02-28,Fashion,6823.71,UPI,Pune
ORD0000177,USR00024,2026-02-19,Home,2407.42,Card,Pune
ORD0000178,USR00024,2026-01-07,Books,2563.04,UPI,Pune
ORD0000179,USR00024,2026-02-08,Electronics,8648.5,UPI,Pune
ORD0000180,USR00024,2025-12-19,Home,7777.5,UPI,Pune
ORD0000181,USR00025,2025-10-18,Home,9955.19,Card,Mumbai
ORD0000182,USR00025,2025-12-01,Home,5488.15,COD,Mumbai
ORD0000183,USR00025,2026-03-26,Home,656.0,COD,Mumbai
ORD0000184,USR00025,2026-01-07,Books,3636.2,Card,Mumbai
ORD0000185,USR00025,2025-11-26,Books,1798.8,Card,Mumbai
ORD0000186,USR00025,2026-01-04,Books,4462.58,Card,Mumbai
ORD0000187,USR00025,2025-10-19,Fashion,1306.69,UPI,Mumbai
ORD0000188,USR00025,2025-10-25,Electronics,1469.88,UPI,Mumbai
ORD0000189,USR00025,2025-11-11,Fashion,4027.88,COD,Mumbai
ORD0000190,USR00025,2025-11-17,Home,826.3,COD,Mumbai
ORD0000191,USR00025,2025-12-28,Electronics,5994.13,UPI,Mumbai
ORD0000192,USR00025,2025-12-24,Fashion,4733.01,Card,Mumbai
ORD0000193,USR00025,2026-03-05,Electronics,2037.56,UPI,Mumbai
ORD0000194,USR00026,2025-11-25,Electronics,6768.11,Card,Hyderabad
ORD0000195,USR00026,2025-10-07,Electronics,4634.48,UPI,Hyderabad
ORD0000196,USR00027,2025-11-17,Books,9315.16,COD,Pune
ORD0000197,USR00027,2025-10-11,Electronics,3276.46,UPI,Pune
ORD0000198,USR00027,2025-11-13,Home,3184.56,COD,Pune
ORD0000199,USR00027,2026-01-17,Fashion,2670.07,UPI,Pune
ORD0000200,USR00027,2026-03-11,Books,3826.51,Card,Pune
ORD0000201,USR00027,2025-10-13,Fashion,2122.0,UPI,Pune
ORD0000202,USR00027,2025-10-08,Home,2274.39,Card,Pune
ORD0000203,USR00027,2026-03-18,Fashion,5582.85,UPI,Pune
ORD0000204,USR00027,2025-12-31,Fashion,8454.41,UPI,Pune
ORD0000205,USR00027,2026-03-05,Electronics,8240.06,COD,Pune
ORD0000206,USR00028,2025-10-12,Home,7355.31,Card,Bangalore
ORD0000207,USR00028,2025-12-20,Books,7267.89,Card,Bangalore
ORD0000208,USR00028,2025-11-20,Home,4362.3,COD,Bangalore
ORD0000209,USR00028,2025-11-15,Books,5172.69,UPI,Bangalore
ORD0000210,USR00028,2026-01-04,Fashion,822.74,COD,Bangalore
ORD0000211,USR00028,2026-01-27,Books,6251.17,COD,Bangalore
ORD0000212,USR00028,2026-02-27,Books,2421.54,COD,Bangalore
ORD0000213,USR00028,2026-01-16,Home,1169.49,Card,Bangalore
ORD0000214,USR00028,2026-02-21,Books,632.92,COD,Bangalore
ORD0000215,USR00028,2025-12-11,Fashion,2817.62,UPI,Bangalore
ORD0000216,USR00028,2025-12-04,Books,3978.93,Card,Bangalore
ORD0000217,USR00028,2026-03-09,Home,4576.8,Card,Bangalore
ORD0000218,USR00028,2025-12-04,Home,4497.42,UPI,Bangalore
ORD0000219,USR00029,2025-10-08,Home,8786.78,UPI,Pune
ORD0000220,USR00029,2025-11-01,Electronics,8673.75,COD,Pune
ORD0000221,USR00029,2026-02-25,Fashion,7802.66,Card,Pune
ORD0000222,USR00029,2026-01-28,Home,473.21,Card,Pune
ORD0000223,USR00029,2026-01-15,Electronics,4884.0,COD,Pune
ORD0000224,USR00029,2025-12-11,Books,5668.05,Card,Pune
ORD0000225,USR00029,2026-01-16,Home,2561.19,UPI,Pune
ORD0000226,USR00030,2026-01-18,Books,9922.14,Card,Pune
ORD0000227,USR00031,2025-12-03,Fashion,1063.93,UPI,Chennai
ORD0000228,USR00031,2025-10-29,Home,5393.14,UPI,Chennai
ORD0000229,USR00031,2026-03-18,Books,169.12,COD,Chennai
ORD0000230,USR00031,2026-01-10,Books,9545.02,Card,Chennai
ORD0000231,USR00032,2025-09-29,Fashion,280.92,UPI,Chennai
ORD0000232,USR00032,2026-03-07,Books,8292.48,Card,Chennai
ORD0000233,USR00032,2025-10-12,Fashion,9919.7,Card,Chennai
ORD0000234,USR00032,2025-12-04,Electronics,2412.32,Card,Chennai
ORD0000235,USR00032,2025-10-03,Fashion,1930.71,COD,Chennai
ORD0000236,USR00032,2026-01-23,Home,708.11,Card,Chennai
ORD0000237,USR00032,2026-01-26,Home,4232.21,Card,Chennai
ORD0000238,USR00032,2026-02-25,Fashion,4442.61,UPI,Chennai
ORD0000239,USR00033,2025-11-21,Fashion,4980.27,UPI,Delhi
ORD0000240,USR00033,2025-10-09,Home,5416.71,UPI,Delhi
ORD0000241,USR00033,2026-02-24,Books,3459.3,COD,Delhi
ORD0000242,USR00033,2025-11-01,Books,3046.74,Card,Delhi
ORD0000243,USR00033,2026-03-10,Books,3214.83,UPI,Delhi
ORD0000244,USR00033,2025-12-07,Home,9166.5,UPI,Delhi
ORD0000245,USR00033,2026-01-30,Fashion,2907.72,UPI,Delhi
ORD0000246,USR00033,2026-01-29,Electronics,798.3,UPI,Delhi
ORD0000247,USR00033,2026-02-20,Electronics,7632.77,Card,Delhi
ORD0000248,USR00033,2025-11-18,Home,8230.38,UPI,Delhi
ORD0000249,USR00033,2025-10-13,Books,1801.58,COD,Delhi
ORD0000250,USR00034,2026-03-06,Electronics,8610.49,UPI,Bangalore
ORD0000251,USR00035,2025-11-24,Electronics,8554.03,UPI,Chennai
ORD0000252,USR00035,2025-10-10,Electronics,2201.63,Card,Chennai
ORD0000253,USR00035,2026-01-21,Fashion,8380.57,Card,Chennai
ORD0000254,USR00035,2025-10-07,Books,242.37,Card,Chennai
ORD0000255,USR00035,2026-03-04,Books,9809.86,Card,Chennai
ORD0000256,USR00035,2026-01-15,Books,5086.71,COD,Chennai
ORD0000257,USR00035,2025-10-16,Electronics,3832.83,Card,Chennai
ORD0000258,USR00035,2026-01-08,Electronics,4509.98,UPI,Chennai
ORD0000259,USR00035,2025-12-21,Electronics,6943.34,Card,Chennai
ORD0000260,USR00035,2026-03-17,Books,2023.31,UPI,Chennai
ORD0000261,USR00035,2026-01-05,Books,5083.12,UPI,Chennai
ORD0000262,USR00035,2026-01-16,Fashion,6581.78,Card,Chennai
ORD0000263,USR00036,2026-01-02,Books,6667.29,UPI,Bangalore
ORD0000264,USR00036,2026-01-28,Electronics,965.72,COD,Bangalore
ORD0000265,USR00036,2025-11-01,Fashion,2283.04,Card,Bangalore
ORD0000266,USR00036,2025-12-20,Books,494.13,UPI,Bangalore
ORD0000267,USR00036,2025-10-24,Electronics,2177.99,UPI,Bangalore
ORD0000268,USR00036,2026-01-07,Books,9540.96,COD,Bangalore
ORD0000269,USR00036,2026-03-01,Electronics,7373.61,COD,Bangalore
ORD0000270,USR00036,2026-02-19,Fashion,1873.04,Card,Bangalore
ORD0000271,USR00036,2026-01-17,Books,1497.87,COD,Bangalore
ORD0000272,USR00037,2025-11-25,Home,1175.96,Card,Mumbai
ORD0000273,USR00037,2025-12-30,Fashion,6240.39,COD,Mumbai
ORD0000274,USR00037,2026-01-08,Electronics,4833.77,COD,Mumbai
ORD0000275,USR00037,2026-02-20,Electronics,6313.92,Card,Mumbai
ORD0000276,USR00037,2025-12-30,Books,6369.31,COD,Mumbai
ORD0000277,USR00037,2025-12-20,Home,9386.83,UPI,Mumbai
ORD0000278,USR00037,2025-10-27,Home,7482.6,UPI,Mumbai
ORD0000279,USR00038,2026-02-23,Fashion,6995.96,UPI,Bangalore
ORD0000280,USR00038,2026-02-12,Fashion,783.47,COD,Bangalore
ORD0000281,USR00038,2026-03-26,Books,5662.45,Card,Bangalore
ORD0000282,USR00038,2026-03-21,Electronics,3623.98,UPI,Bangalore
ORD0000283,USR00038,2026-01-15,Home,8265.59,COD,Bangalore
ORD0000284,USR00038,2025-10-20,Electronics,8162.4,Card,Bangalore
ORD0000285,USR00038,2025-11-21,Fashion,2494.2,UPI,Bangalore
ORD0000286,USR00038,2025-12-20,Electronics,2047.21,COD,Bangalore
ORD0000287,USR00038,2025-10-08,Books,5687.51,COD,Bangalore
ORD0000288,USR00038,2026-01-30,Fashion,5906.47,Card,Bangalore
ORD0000289,USR00039,2025-10-23,Electronics,7155.39,UPI,Chennai
ORD0000290,USR00039,2026-01-22,Fashion,4743.5,Card,Chennai
ORD0000291,USR00039,2025-11-17,Electronics,3844.42,COD,Chennai
ORD0000292,USR00039,2025-12-03,Home,8848.47,COD,Chennai
ORD0000293,USR00039,2026-03-12,Electronics,2073.52,UPI,Chennai
ORD0000294,USR00039,2026-03-05,Home,815.54,COD,Chennai
ORD0000295,USR00039,2026-01-12,Fashion,7280.34,COD,Chennai
ORD0000296,USR00039,2025-10-02,Electronics,2483.96,UPI,Chennai
ORD0000297,USR00039,2025-10-12,Books,2101.28,UPI,Chennai
ORD0000298,USR00039,2025-12-29,Home,1556.92,COD,Chennai
ORD0000299,USR00039,2025-11-27,Home,5485.33,Card,Chennai
ORD0000300,USR00039,2026-01-29,Fashion,159.87,UPI,Chennai
ORD0000301,USR00039,2025-11-26,Books,2530.95,Card,Chennai
ORD0000302,USR00039,2025-11-10,Fashion,3494.11,Card,Chennai
ORD0000303,USR00040,2025-11-30,Electronics,5747.05,Card,Delhi
ORD0000304,USR00041,2025-10-10,Books,7175.49,COD,Hyderabad
ORD0000305,USR00041,2026-01-01,Home,5512.1,COD,Hyderabad
ORD0000306,USR00041,2025-10-21,Books,5584.53,UPI,Hyderabad
ORD0000307,USR00041,2025-12-08,Fashion,8778.48,COD,Hyderabad
ORD0000308,USR00041,2026-02-13,Home,1745.67,Card,Hyderabad
ORD0000309,USR00041,2025-12-16,Books,6033.79,Card,Hyderabad
ORD0000310,USR00041,2026-03-10,Fashion,3783.61,UPI,Hyderabad
ORD0000311,USR00041,2025-10-01,Fashion,1237.57,Card,Hyderabad
ORD0000312,USR00041,2025-11-15,Home,9525.42,Card,Hyderabad
ORD0000313,USR00041,2025-10-30,Home,5872.97,Card,Hyderabad
ORD0000314,USR00041,2026-02-08,Electronics,8820.86,COD,Hyderabad
ORD0000315,USR00041,2026-03-18,Books,3209.03,COD,Hyderabad
ORD0000316,USR00041,2025-10-23,Fashion,4703.86,UPI,Hyderabad
ORD0000317,USR00041,2026-03-08,Home,962.38,COD,Hyderabad
ORD0000318,USR00042,2025-10-24,Fashion,3487.11,Card,Delhi
ORD0000319,USR00042,2025-12-25,Electronics,6279.98,COD,Delhi
ORD0000320,USR00042,2025-11-16,Books,3581.33,UPI,Delhi
ORD0000321,USR00042,2026-02-13,Books,5580.23,COD,Delhi
ORD0000322,USR00042,2025-10-17,Fashion,4365.5,COD,Delhi
ORD0000323,USR00042,2026-01-23,Home,7278.6,Card,Delhi
ORD0000324,USR00042,2026-02-06,Books,8499.87,COD,Delhi
ORD0000325,USR00042,2025-12-18,Home,9859.11,UPI,Delhi
ORD0000326,USR00042,2025-12-17,Electronics,9415.82,COD,Delhi
ORD0000327,USR00042,2026-03-20,Electronics,3458.28,UPI,Delhi
ORD0000328,USR00043,2025-11-03,Fashion,506.57,UPI,Delhi
ORD0000329,USR00043,2026-02-01,Electronics,4011.03,UPI,Delhi
ORD0000330,USR00043,2026-02-06,Electronics,298.23,Card,Delhi
ORD0000331,USR00043,2025-11-29,Fashion,6770.19,UPI,Delhi
ORD0000332,USR00044,2025-10-21,Electronics,4695.62,COD,Chennai
ORD0000333,USR00044,2025-11-13,Books,6383.97,COD,Chennai
ORD0000334,USR00044,2026-01-06,Books,6650.87,COD,Chennai
ORD0000335,USR00044,2026-01-08,Home,5502.39,UPI,Chennai
ORD0000336,USR00044,2025-12-27,Home,6004.7,UPI,Chennai
ORD0000337,USR00044,2025-10-17,Electronics,7511.23,UPI,Chennai
ORD0000338,USR00044,2026-02-10,Fashion,3866.77,COD,Chennai
ORD0000339,USR00044,2026-01-18,Books,7179.74,UPI,Chennai
ORD0000340,USR00044,2026-03-25,Books,4328.34,COD,Chennai
ORD0000341,USR00044,2026-02-25,Electronics,3066.72,Card,Chennai
ORD0000342,USR00045,2026-02-11,Books,5402.78,Card,Chennai
ORD0000343,USR00045,2026-01-08,Electronics,2596.51,COD,Chennai
ORD0000344,USR00045,2025-12-19,Home,6700.64,COD,Chennai
ORD0000345,USR00045,2025-10-29,Electronics,2139.2,COD,Chennai
ORD0000346,USR00045,2025-10-10,Electronics,488.72,Card,Chennai
ORD0000347,USR00045,2025-12-30,Electronics,2499.3,UPI,Chennai
ORD0000348,USR00045,2026-03-04,Electronics,3938.18,UPI,Chennai
ORD0000349,USR00045,2026-02-07,Fashion,5551.54,COD,Chennai
ORD0000350,USR00045,2026-01-02,Books,8583.95,UPI,Chennai
ORD0000351,USR00045,2026-02-09,Fashion,6042.49,COD,Chennai
ORD0000352,USR00046,2026-02-15,Fashion,7720.49,COD,Hyderabad
ORD0000353,USR00046,2025-12-17,Fashion,4241.08,COD,Hyderabad
ORD0000354,USR00046,2026-01-03,Books,3482.25,COD,Hyderabad
ORD0000355,USR00046,2025-11-13,Electronics,5022.81,COD,Hyderabad
ORD0000356,USR00046,2025-12-17,Home,1281.87,COD,Hyderabad
ORD0000357,USR00046,2026-03-15,Books,8436.86,COD,Hyderabad
ORD0000358,USR00046,2025-11-30,Books,3996.99,UPI,Hyderabad
ORD0000359,USR00046,2026-01-15,Fashion,5599.42,UPI,Hyderabad
ORD0000360,USR00046,2026-03-08,Books,3466.04,COD,Hyderabad
ORD0000361,USR00046,2025-10-23,Home,8528.92,COD,Hyderabad
ORD0000362,USR00046,2025-12-16,Fashion,7790.3,COD,Hyderabad
ORD0000363,USR00046,2026-01-17,Books,1899.99,Card,Hyderabad
ORD0000364,USR00047,2025-11-25,Home,7424.69,COD,Delhi
ORD0000365,USR00047,2026-02-18,Home,1279.15,Card,Delhi
ORD0000366,USR00047,2025-11-16,Books,2045.22,COD,Delhi
ORD0000367,USR00048,2025-10-24,Books,510.82,COD,Mumbai
ORD0000368,USR00049,2025-11-26,Home,5641.47,COD,Delhi
ORD0000369,USR00049,2026-01-14,Fashion,9293.11,COD,Delhi
ORD0000370,USR00049,2025-11-22,Fashion,4410.42,Card,Delhi
ORD0000371,USR00049,2026-03-13,Home,2724.3,Card,Delhi
ORD0000372,USR00049,2026-03-17,Books,9308.64,Card,Delhi
ORD0000373,USR00050,2025-11-28,Books,2663.15,UPI,Pune
ORD0000374,USR00050,2025-10-09,Electronics,8234.25,Card,Pune
ORD0000375,USR00050,2025-11-02,Electronics,1300.9,COD,Pune
ORD0000376,USR00050,2025-12-02,Fashion,4874.51,Card,Pune
ORD0000377,USR00050,2025-12-14,Electronics,6045.77,Card,Pune
ORD0000378,USR00050,2025-11-06,Fashion,7103.52,UPI,Pune
ORD0000379,USR00050,2026-01-01,Home,6210.22,UPI,Pune
ORD0000380,USR00050,2025-11-15,Home,5868.59,COD,Pune
